State,District,Year,Wheat,,
,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,"2,23,781.00","10,70,792.00",4.78
,,2022 - 2023,"2,46,133.00","11,53,133.00",4.68
,38. Rewa,2016 - 2017,"1,95,000.00","5,60,000.00",2.87
,,2017 - 2018,"1,73,600.00","4,99,970.00",2.88
,,2018 - 2019,"2,61,238.00","7,85,462.00",3.01
,,2019 - 2020,"3,34,362.00","10,49,562.00",3.14
,,2020 - 2021,"3,43,212.00","8,87,203.00",2.58
,,2021 - 2022,"3,53,260.00","10,10,324.00",2.86
,,2022 - 2023,"3,46,656.00","9,91,436.00",2.86
,39. Sagar,2016 - 2017,"2,02,000.00","5,57,000.00",2.76
,,2017 - 2018,"2,78,000.00","8,93,210.00",3.21
,,2018 - 2019,"3,01,969.00","7,55,948.00",2.5
,,2019 - 2020,"3,60,758.00","12,00,242.00",3.33
,,2020 - 2021,"3,47,618.00","9,92,449.00",2.85
,,2021 - 2022,"3,42,766.00","9,47,748.00",2.77
,,2022 - 2023,"3,54,243.00","9,79,482.00",2.77
,40. Satna,2016 - 2017,"1,71,000.00","6,17,000.00",3.61
,,2017 - 2018,"1,56,800.00","5,38,450.00",3.43
,,2018 - 2019,"2,44,840.00","8,99,821.00",3.68
,,2019 - 2020,"3,08,362.00","9,86,450.00",3.2
,,2020 - 2021,"3,20,734.00","8,53,473.00",2.66
,,2021 - 2022,"3,19,360.00","3,65,466.00",1.14
,,2022 - 2023,"3,25,752.00","8,82,788.00",2.71
,41. Sehore,2016 - 2017,"2,50,000.00","8,47,000.00",3.39
,,2017 - 2018,"1,97,400.00","6,96,430.00",3.53
,,2018 - 2019,"2,73,649.00","8,45,434.00",3.09
,,2019 - 2020,"3,38,431.00","12,26,812.00",3.62
,,2020 - 2021,"3,33,486.00","10,99,837.00",3.3
,,2021 - 2022,"3,34,767.00","11,50,929.00",3.44
,,2022 - 2023,"3,42,604.00","11,77,873.00",3.44
,42. Seoni,2016 - 2017,"1,51,000.00","4,45,000.00",2.95
,,2017 - 2018,"2,00,720.00","5,23,880.00",2.61
,,2018 - 2019,"2,03,008.00","6,27,616.00",3.09
,,2019 - 2020,"2,60,669.00","11,25,829.00",4.32
,,2020 - 2021,"2,75,705.00","12,05,107.00",4.37
,,2021 - 2022,"2,59,843.00","10,99,656.00",4.23
,,2022 - 2023,"2,69,794.00","11,14,789.00",4.13
,43. Shahdol,2016 - 2017,"53,000.00","90,000.00",1.7
,,2017 - 2018,"28,820.00","62,890.00",2.18
,,2018 - 2019,"46,403.00","1,12,460.00",2.42
,,2019 - 2020,"64,772.00","1,60,829.00",2.48
,,2020 - 2021,"74,224.00","1,39,467.00",1.88
,,2021 - 2022,"69,279.00","1,44,724.00",2.09
,,2022 - 2023,"74,491.00","1,55,612.00",2.09
,44. Shajapur,2016 - 2017,"1,36,000.00","4,55,000.00",3.35
,,2017 - 2018,"79,800.00","2,87,600.00",3.6
,,2018 - 2019,"1,19,407.00","3,36,653.00",2.82
,,2019 - 2020,"2,03,701.00","10,97,745.00",5.39
,,2020 - 2021,"1,96,447.00","6,37,274.00",3.24
,,2021 - 2022,"2,16,701.00","7,11,429.00",3.28
,,2022 - 2023,"2,32,890.00","7,64,578.00",3.28
,45. Sheopur,2016 - 2017,"85,000.00","3,49,000.00",4.11
,,2017 - 2018,"86,000.00","3,39,180.00",3.94
,,2018 - 2019,"1,09,134.00","4,71,747.00",4.32
,,2019 - 2020,"1,20,508.00","5,41,804.00",4.5
,,2020 - 2021,"96,446.00","5,27,367.00",5.47
,,2021 - 2022,"87,814.00","4,40,475.00",5.02
,,2022 - 2023,"96,311.00","4,21,361.00",4.38
,46. Shivpuri,2016 - 2017,"1,70,000.00","5,28,000.00",3.11
,,2017 - 2018,"76,900.00","2,17,090.00",2.82
,,2018 - 2019,"2,87,013.00","8,89,371.00",3.1
,,2019 - 2020,"3,11,478.00","8,50,958.00",2.73
,,2020 - 2021,"2,77,065.00","8,19,004.00",2.96
,,2021 - 2022,"2,62,403.00","8,68,554.00",3.31
,,2022 - 2023,"2,51,726.00","8,33,213.00",3.31
,47. Sidhi,2016 - 2017,"70,000.00","2,01,000.00",2.87
,,2017 - 2018,"62,700.00","1,62,580.00",2.59
,,2018 - 2019,"95,999.00","2,90,401.00",3.03
,,2019 - 2020,"1,18,696.00","2,81,784.00",2.37
,,2020 - 2021,"1,19,467.00","2,78,358.00",2.33
,,2021 - 2022,"1,22,149.00","3,08,671.00",2.53
,,2022 - 2023,"1,25,388.00","3,16,855.00",2.53
,48. Singrauli,2016 - 2017,"48,000.00","1,26,000.00",2.63
,,2017 - 2018,"39,100.00","1,03,580.00",2.65
,,2018 - 2019,"78,426.00","2,13,804.00",2.73
,,2019 - 2020,"94,045.00","4,54,143.00",4.83
,,2020 - 2021,"86,908.00","4,86,598.00",5.6
,,2021 - 2022,"92,730.00","3,76,113.00",4.06
,,2022 - 2023,"86,188.00","3,49,579.00",4.06
,49. Tikamgarh,2016 - 2017,"1,50,000.00","4,21,000.00",2.81
,,2017 - 2018,"97,190.00","2,43,070.00",2.5
,,2018 - 2019,"2,69,967.00","7,63,774.00",2.83
,,2019 - 2020,"2,13,491.00","6,54,563.00",3.07
,,2020 - 2021,"2,05,836.00","5,92,190.00",2.88
,,2021 - 2022,"1,92,366.00","5,77,098.00",3
,,2022 - 2023,"2,09,544.00","6,28,632.00",3
,50. Ujjain,2016 - 2017,"2,71,000.00","10,29,000.00",3.8
,,2017 - 2018,"2,20,600.00","9,35,790.00",4.24
,,2018 - 2019,"2,20,044.00","5,83,277.00",2.65
,,2019 - 2020,"4,08,353.00","17,65,718.00",4.32
,,2020 - 2021,"4,09,404.00","13,93,202.00",3.4
,,2021 - 2022,"4,12,568.00","14,80,706.00",3.59
,,2022 - 2023,"4,52,752.00","16,24,927.00",3.59
,51. Umaria,2016 - 2017,"26,000.00","60,000.00",2.31
,,2017 - 2018,"41,770.00","99,200.00",2.37
,,2018 - 2019,"56,053.00","1,25,534.00",2.24
,,2019 - 2020,"75,311.00","1,48,212.00",1.97
,,2020 - 2021,"74,548.00","1,38,957.00",1.86
,,2021 - 2022,"70,583.00","1,46,319.00",2.07
,,2022 - 2023,"77,562.00","1,68,542.00",2.17
,52. Vidisha,2016 - 2017,"2,81,000.00","8,32,000.00",2.96
,,2017 - 2018,"2,63,000.00","10,25,700.00",3.9
,,2018 - 2019,"2,80,644.00","7,32,061.00",2.61
,,2019 - 2020,"3,83,599.00","11,20,493.00",2.92
,,2020 - 2021,"3,55,461.00","10,89,843.00",3.07
,,2021 - 2022,"3,74,697.00","12,77,716.00",3.41
,,2022 - 2023,"3,26,580.00","11,13,638.00",3.41
